lon,lat,presence,date
-7.6940841093530095,43.788307615530414,FALSE,2016-10-01
-7.674460911334599,43.78231908270882,FALSE,2017-03-23
-7.874768263324681,43.76898175480156,FALSE,2024-04-28
-7.695208219086969,43.77465702727895,FALSE,2020-07-15
-7.6581216441738436,43.77360453665673,FALSE,2022-06-23
-7.866131530234673,43.74808998068043,FALSE,2026-02-05
-7.855293002702748,43.73882004862702,FALSE,2025-07-03
-7.80462660579851,43.73558416613237,FALSE,2016-08-23
-7.739726145415159,43.7480343103657,FALSE,2022-07-01
-7.677406267409715,43.73979961790845,FALSE,2026-06-13
-7.659111879757042,43.73826208377481,FALSE,2023-08-21
-7.4994935206621385,43.74807558485961,FALSE,2026-03-12
-7.825795394591478,43.70851994790881,FALSE,2025-01-03
-7.81030705921757,43.707115970370864,FALSE,2016-09-02
-7.771895696411013,43.70815949359659,FALSE,2025-11-07
-7.741219291336377,43.72342429766364,FALSE,2018-03-24
-7.721471057458456,43.71849358287926,FALSE,2017-08-29
-7.678478430832165,43.714804828083224,FALSE,2017-09-06
-7.672282717945447,43.718927793736896,FALSE,2021-09-08
-7.642744051796468,43.71386055262628,FALSE,2025-11-17
-7.6118737144080875,43.71611894823975,FALSE,2017-08-07
-7.529363121447944,43.72376470940781,FALSE,2019-10-04
-7.909581542859305,43.67512042326312,FALSE,2018-01-09
-7.8356618564709075,43.696462565972,FALSE,2023-04-20
-7.804216701912839,43.68323890103544,FALSE,2014-09-27
-7.646322314830405,43.68507056437876,FALSE,2019-08-21
-7.608295353643363,43.68570358373472,FALSE,2014-07-21
-7.580493616391449,43.69907138774047,FALSE,2024-06-08
-7.557024307663716,43.68140205940165,FALSE,2020-03-29
-7.536774855968426,43.6800867788494,FALSE,2016-01-22
-7.501754673298795,43.695211610702074,FALSE,2018-03-04
-7.487135038227237,43.69557483996756,FALSE,2023-08-23
-7.457575081116585,43.69436183231282,FALSE,2018-07-20
-7.446731820548918,43.68249561276699,FALSE,2023-11-07
-7.428874042265061,43.675171094777816,FALSE,2019-08-01
-7.410918937762936,43.67712603064282,FALSE,2021-04-18
-7.375346508083576,43.676971543496535,FALSE,2021-07-16
-7.397825412592451,43.69723198508211,FALSE,2022-10-17
-7.353158436166849,43.68095016071286,FALSE,2022-02-07
-7.359692627692664,43.690182165481296,FALSE,2019-09-29
-8.0536680283936235,43.662864506850035,FALSE,2017-09-17
-7.848758884930344,43.65001909457373,FALSE,2015-08-26
-7.802559779853563,43.66418358931192,FALSE,2019-04-04
-7.639002543458348,43.67412793913317,FALSE,2014-12-01
-7.607055667182078,43.660988379774864,FALSE,2021-01-12
-7.5827701984632325,43.66736213796686,FALSE,2018-06-09
-7.592171821608112,43.65660448420235,FALSE,2023-07-24
-7.555266624786542,43.66797021973202,FALSE,2019-03-03
-7.4958014865502385,43.65640720710634,FALSE,2021-07-14
-7.435126116636243,43.663103324613985,FALSE,2021-12-08
-7.410651609007942,43.6595130939527,FALSE,2018-12-13
-7.394127498775673,43.65491169300615,FALSE,2018-08-09
-7.377697683300325,43.668308027865834,FALSE,2017-12-27
-7.354659914148959,43.6578895823003,FALSE,2026-07-12
-7.35613578284175,43.65979361768334,FALSE,2019-09-16
